!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789123456789123456789123456123456123121231212
H           Grain                   H(gr)       Grain                                3.14e-10 1.00e+00 1.00e+00             20
H(gr)       H                       H2                                               3.14e-10 1.00e+00 1.00e+00             -3
E-          Grain0                  Grain-                                           3.23e-03 5.00e-01 0.00e+00              0
C+          Grain-                  C           Grain0                               3.14e-10 1.20e+01 5.00e-01             23
Fe+         Grain-                  Fe          Grain0                               3.14e-10 5.58e+01 5.00e-01             23
H+          Grain-                  H           Grain0                               3.14e-10 1.01e+00 5.00e-01             23
He+         Grain-                  He          Grain0                               3.14e-10 4.00e+00 5.00e-01             23
Mg+         Grain-                  Mg          Grain0                               3.14e-10 2.43e+01 5.00e-01             23
N+          Grain-                  N           Grain0                               3.14e-10 1.40e+01 5.00e-01             23
Na+         Grain-                  Na          Grain0                               3.14e-10 2.30e+01 5.00e-01             23
O+          Grain-                  O           Grain0                               3.14e-10 1.60e+01 5.00e-01             23
S+          Grain-                  S           Grain0                               3.14e-10 3.21e+01 5.00e-01             23
P+          Grain-                  P           Grain0                               3.14e-10 3.10e+01 5.00e-01             23
F+          Grain-                  F           Grain0                               3.14e-10 1.90e+01 5.00e-01             23
Si+         Grain-                  Si          Grain0                               3.14e-10 2.81e+01 5.00e-01             23
H3+         Grain-                  H2          H           Grain0                   3.14e-10 3.02e+00 5.00e-01             23
HCO+        Grain-                  H           CO          Grain0                   3.14e-10 2.90e+01 5.00e-01             23
C           CRP                     C+          E-                                   1.33e-14 0.00e+00 0.00e+00              1
Cl          CRP                     Cl+         E-                                   3.90e-14 0.00e+00 0.00e+00              1
Fe          CRP                     Fe+         E-                                   1.95e-14 0.00e+00 0.00e+00              1
H           CRP                     H+          E-                                   5.98e-18 0.00e+00 0.00e+00              1
He          CRP                     He+         E-                                   6.50e-18 0.00e+00 0.00e+00              1
Mg          CRP                     Mg+         E-                                   1.47e-15 0.00e+00 0.00e+00              1
N           CRP                     N+          E-                                   2.73e-17 0.00e+00 0.00e+00              1
Na          CRP                     Na+         E-                                   2.21e-16 0.00e+00 0.00e+00              1
O           CRP                     O+          E-                                   3.64e-17 0.00e+00 0.00e+00              1
P           CRP                     P+          E-                                   1.95e-14 0.00e+00 0.00e+00              1
S           CRP                     S+          E-                                   1.25e-14 0.00e+00 0.00e+00              1
Si          CRP                     Si+         E-                                   5.50e-14 0.00e+00 0.00e+00              1
C2          CRP                     C           C                                    3.08e-15 0.00e+00 0.00e+00              1
CCl         CRP                     C           Cl                                   6.50e-15 0.00e+00 0.00e+00              1
CH          CRP                     C           H                                    9.49e-15 0.00e+00 0.00e+00              1
ClO         CRP                     Cl          O                                    6.50e-15 0.00e+00 0.00e+00              1
CN          CRP                     C           N                                    1.38e-13 0.00e+00 0.00e+00              1
CO          CRP                     C           O                                    6.50e-17 0.00e+00 0.00e+00              1
CO          CRP                     CO+         E-                                   3.90e-17 0.00e+00 0.00e+00              1
CP          CRP                     C           P                                    6.50e-15 0.00e+00 0.00e+00              1
CS          CRP                     C           S                                    6.50e-15 0.00e+00 0.00e+00              1
H2          CRP                     H           H                                    1.30e-18 0.00e+00 0.00e+00              1
H2          CRP                     H+          H           E-                       2.86e-19 0.00e+00 0.00e+00              1
H2          CRP                     H+          H-                                   3.90e-21 0.00e+00 0.00e+00              1
H2          CRP                     H2+         E-                                   1.21e-17 0.00e+00 0.00e+00              1
HCl         CRP                     H           Cl                                   7.93e-15 0.00e+00 0.00e+00              1
HF          CRP                     F           H                                    1.13e-16 0.00e+00 0.00e+00              1
HS          CRP                     H           S                                    6.50e-15 0.00e+00 0.00e+00              1
MgH         CRP                     Mg          H                                    6.50e-15 0.00e+00 0.00e+00              1
N2          CRP                     N           N                                    6.50e-17 0.00e+00 0.00e+00              1
NaH         CRP                     Na          H                                    6.50e-15 0.00e+00 0.00e+00              1
NH          CRP                     N           H                                    6.50e-15 0.00e+00 0.00e+00              1
NO          CRP                     N           O                                    6.27e-15 0.00e+00 0.00e+00              1
NO          CRP                     NO+         E-                                   6.42e-15 0.00e+00 0.00e+00              1
NS          CRP                     N           S                                    6.50e-15 0.00e+00 0.00e+00              1
O2          CRP                     O           O                                    9.75e-15 0.00e+00 0.00e+00              1
O2          CRP                     O2+         E-                                   1.52e-15 0.00e+00 0.00e+00              1
OH          CRP                     O           H                                    6.63e-15 0.00e+00 0.00e+00              1
PH          CRP                     P           H                                    6.50e-15 0.00e+00 0.00e+00              1
PN          CRP                     P           N                                    6.50e-15 0.00e+00 0.00e+00              1
PO          CRP                     P           O                                    6.50e-15 0.00e+00 0.00e+00              1
S2          CRP                     S           S                                    6.50e-15 0.00e+00 0.00e+00              1
SiC         CRP                     Si          C                                    6.50e-15 0.00e+00 0.00e+00              1
SiH         CRP                     Si          H                                    6.50e-15 0.00e+00 0.00e+00              1
SiN         CRP                     Si          N                                    6.50e-15 0.00e+00 0.00e+00              1
SiO         CRP                     Si          O                                    6.50e-15 0.00e+00 0.00e+00              1
SiS         CRP                     Si          S                                    6.50e-15 0.00e+00 0.00e+00              1
SO          CRP                     S           O                                    6.50e-15 0.00e+00 0.00e+00              1
C2H         CRP                     C2          H                                    6.50e-14 0.00e+00 0.00e+00              1
C2N         CRP                     C           CN                                   1.30e-14 0.00e+00 0.00e+00              1
C2S         CRP                     CS          C                                    1.95e-14 0.00e+00 0.00e+00              1
C3          CRP                     C2          C                                    1.46e-14 0.00e+00 0.00e+00              1
CCO         CRP                     C2          O                                    9.75e-15 0.00e+00 0.00e+00              1
CCO         CRP                     CO          C                                    9.75e-15 0.00e+00 0.00e+00              1
CCP         CRP                     C2          P                                    9.75e-15 0.00e+00 0.00e+00              1
CCP         CRP                     CP          C                                    9.75e-15 0.00e+00 0.00e+00              1
CH2         CRP                     CH2+        E-                                   6.50e-15 0.00e+00 0.00e+00              1
CO2         CRP                     CO          O                                    2.22e-14 0.00e+00 0.00e+00              1
H2O         CRP                     OH          H                                    1.26e-14 0.00e+00 0.00e+00              1
H2S         CRP                     H2          S                                    6.69e-14 0.00e+00 0.00e+00              1
H2S         CRP                     H2S+        E-                                   2.21e-14 0.00e+00 0.00e+00              1
HCN         CRP                     CN          H                                    4.06e-14 0.00e+00 0.00e+00              1
HCO         CRP                     CO          H                                    5.47e-15 0.00e+00 0.00e+00              1
HCO         CRP                     HCO+        E-                                   1.52e-14 0.00e+00 0.00e+00              1
HCP         CRP                     CP          H                                    1.95e-14 0.00e+00 0.00e+00              1
HCS         CRP                     HCS+        E-                                   1.95e-14 0.00e+00 0.00e+00              1
HCSi        CRP                     CH          Si                                   1.95e-14 0.00e+00 0.00e+00              1
HNC         CRP                     CN          H                                    3.90e-14 0.00e+00 0.00e+00              1
HNO         CRP                     HNO+        E-                                   1.30e-14 0.00e+00 0.00e+00              1
HNSi        CRP                     SiN         H                                    1.95e-14 0.00e+00 0.00e+00              1
HPO         CRP                     PO          H                                    1.95e-14 0.00e+00 0.00e+00              1
HS2         CRP                     HS          S                                    1.95e-14 0.00e+00 0.00e+00              1
N2O         CRP                     NO          N                                    1.95e-14 0.00e+00 0.00e+00              1
NaOH        CRP                     Na          OH                                   1.95e-14 0.00e+00 0.00e+00              1
NH2         CRP                     NH          H                                    1.04e-15 0.00e+00 0.00e+00              1
NH2         CRP                     NH2+        E-                                   8.45e-15 0.00e+00 0.00e+00              1
NO2         CRP                     NO          O                                    1.95e-14 0.00e+00 0.00e+00              1
O2H         CRP                     O           OH                                   9.75e-15 0.00e+00 0.00e+00              1
O2H         CRP                     O2          H                                    9.75e-15 0.00e+00 0.00e+00              1
OCN         CRP                     CN          O                                    1.95e-14 0.00e+00 0.00e+00              1
OCS         CRP                     CO          S                                    6.96e-14 0.00e+00 0.00e+00              1
OCS         CRP                     OCS+        E-                                   1.87e-14 0.00e+00 0.00e+00              1
PH2         CRP                     PH          H                                    1.95e-14 0.00e+00 0.00e+00              1
SiC2        CRP                     SiC         C                                    1.95e-14 0.00e+00 0.00e+00              1
SiH2        CRP                     SiH         H                                    1.95e-14 0.00e+00 0.00e+00              1
SiNC        CRP                     Si          CN                                   1.95e-14 0.00e+00 0.00e+00              1
SiO2        CRP                     SiO         O                                    1.95e-14 0.00e+00 0.00e+00              1
SO2         CRP                     SO          O                                    2.44e-14 0.00e+00 0.00e+00              1
C2H2        CRP                     C2H         H                                    6.69e-14 0.00e+00 0.00e+00              1
C2H2        CRP                     C2H2+       E-                                   1.70e-14 0.00e+00 0.00e+00              1
C3H         CRP                     C3          H                                    6.50e-14 0.00e+00 0.00e+00              1
HC3         CRP                     C3          H                                    6.50e-14 0.00e+00 0.00e+00              1
C3N         CRP                     C2          CN                                   2.28e-14 0.00e+00 0.00e+00              1
C3O         CRP                     C2          CO                                   8.58e-14 0.00e+00 0.00e+00              1
C3P         CRP                     CCP         C                                    1.95e-14 0.00e+00 0.00e+00              1
C3S         CRP                     C2          CS                                   1.95e-14 0.00e+00 0.00e+00              1
C4          CRP                     C3          C                                    1.30e-14 0.00e+00 0.00e+00              1
