#23456123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCDE123456789A123456789A1234567891234
    1 H            GRAIN        H(gr)        GRAIN                                    3.14E-10  1.00E+00  1.00E+00  20
    2 H(gr)        H            H2                                                    3.14E-10  1.00E+00  1.00E+00  -3
    3 E            GRAIN0       GRAIN-                                                3.23E-03  5.00E-01  0.00E+00   0
    4 C+           GRAIN-       C            GRAIN0                                   3.14E-10  1.20E+01  5.00E-01  23
    5 Fe+          GRAIN-       Fe           GRAIN0                                   3.14E-10  5.58E+01  5.00E-01  23
    6 H+           GRAIN-       H            GRAIN0                                   3.14E-10  1.01E+00  5.00E-01  23
    7 He+          GRAIN-       He           GRAIN0                                   3.14E-10  4.00E+00  5.00E-01  23
    8 Mg+          GRAIN-       Mg           GRAIN0                                   3.14E-10  2.43E+01  5.00E-01  23
    9 N+           GRAIN-       N            GRAIN0                                   3.14E-10  1.40E+01  5.00E-01  23
   10 Na+          GRAIN-       Na           GRAIN0                                   3.14E-10  2.30E+01  5.00E-01  23
   11 O+           GRAIN-       O            GRAIN0                                   3.14E-10  1.60E+01  5.00E-01  23
   12 X+           GRAIN-       X            GRAIN0                                   3.14E-10  1.60E+01  5.00E-01  23
   13 S+           GRAIN-       S            GRAIN0                                   3.14E-10  3.21E+01  5.00E-01  23
   14 P+           GRAIN-       P            GRAIN0                                   3.14E-10  3.10E+01  5.00E-01  23
   15 F+           GRAIN-       F            GRAIN0                                   3.14E-10  1.90E+01  5.00E-01  23
   16 Si+          GRAIN-       Si           GRAIN0                                   3.14E-10  2.81E+01  5.00E-01  23
   17 H3+          GRAIN-       H2           H            GRAIN0                      3.14E-10  3.02E+00  5.00E-01  23
   18 HCO+         GRAIN-       H            CO           GRAIN0                      3.14E-10  2.90E+01  5.00E-01  23
   19 HCX+         GRAIN-       H            CX           GRAIN0                      3.14E-10  2.90E+01  5.00E-01  23
   20 C            CRP          C+           E                                        1.33E-14  0.00E+00  0.00E+00   1
   21 Cl           CRP          Cl+          E                                        3.90E-14  0.00E+00  0.00E+00   1
   22 Fe           CRP          Fe+          E                                        1.95E-14  0.00E+00  0.00E+00   1
   23 H            CRP          H+           E                                        5.98E-18  0.00E+00  0.00E+00   1
   24 He           CRP          He+          E                                        6.50E-18  0.00E+00  0.00E+00   1
   25 Mg           CRP          Mg+          E                                        1.47E-15  0.00E+00  0.00E+00   1
   26 N            CRP          N+           E                                        2.73E-17  0.00E+00  0.00E+00   1
   27 Na           CRP          Na+          E                                        2.21E-16  0.00E+00  0.00E+00   1
   28 O            CRP          O+           E                                        3.64E-17  0.00E+00  0.00E+00   1
   29 X            CRP          X+           E                                        3.64E-17  0.00E+00  0.00E+00   1
   30 P            CRP          P+           E                                        1.95E-14  0.00E+00  0.00E+00   1
   31 S            CRP          S+           E                                        1.25E-14  0.00E+00  0.00E+00   1
   32 Si           CRP          Si+          E                                        5.50E-14  0.00E+00  0.00E+00   1
   33 C2           CRP          C            C                                        3.08E-15  0.00E+00  0.00E+00   1
   34 CCl          CRP          C            Cl                                       6.50E-15  0.00E+00  0.00E+00   1
   35 CH           CRP          C            H                                        9.49E-15  0.00E+00  0.00E+00   1
   36 ClO          CRP          Cl           O                                        6.50E-15  0.00E+00  0.00E+00   1
   37 ClX          CRP          Cl           X                                        6.50E-15  0.00E+00  0.00E+00   1
   38 CN           CRP          C            N                                        1.38E-13  0.00E+00  0.00E+00   1
   39 CO           CRP          C            O                                        6.50E-17  0.00E+00  0.00E+00   1
   40 CX           CRP          C            X                                        6.50E-17  0.00E+00  0.00E+00   1
   41 CO           CRP          CO+          E                                        3.90E-17  0.00E+00  0.00E+00   1
   42 CX           CRP          CX+          E                                        3.90E-17  0.00E+00  0.00E+00   1
   43 CP           CRP          C            P                                        6.50E-15  0.00E+00  0.00E+00   1
   44 CS           CRP          C            S                                        6.50E-15  0.00E+00  0.00E+00   1
   45 H2           CRP          H            H                                        1.30E-18  0.00E+00  0.00E+00   1
   46 H2           CRP          H+           H            E                           2.86E-19  0.00E+00  0.00E+00   1
